Temperature,Vibration,Pressure,Humidity,Machine_Failure
62,72,88,69,1
73,80,96,77,1
69,33,67,79,0
40,12,46,82,0
61,71,65,58,1
91,33,83,87,1
47,15,67,82,0
46,75,75,22,1
86,16,69,85,1
76,52,50,23,0
89,55,59,57,1
89,75,55,53,1
40,38,82,62,0
75,69,43,81,1
74,79,38,54,1
77,65,57,27,1
78,53,58,87,0
88,79,65,62,1
92,51,64,31,1
63,52,54,88,0
46,36,40,25,0
84,76,63,86,1
56,27,57,79,0
54,56,36,39,0
48,70,82,52,1
82,49,82,49,1
40,33,48,71,0
84,75,66,57,1
60,16,89,55,0
89,60,42,53,1
74,53,56,43,0
73,73,96,44,1
65,19,40,81,0
69,34,31,75,0
77,76,58,22,1
64,16,91,76,0
71,77,97,84,1
68,69,97,60,1
57,74,89,87,1
82,65,58,81,1
51,71,67,42,1
83,61,42,65,1
73,15,65,52,0
50,46,33,73,0
68,26,70,82,0
100,62,97,65,1
48,74,32,64,1
76,24,96,57,0
60,72,70,72,1
83,69,82,34,1
