Vehicle_Count,Signal_Time,Road_Block,Traffic_Status
24,8,1,High
58,3,1,High
69,3,0,Medium
36,1,0,Low
57,3,0,Medium
14,10,1,High
39,6,1,High
67,7,0,Medium
82,8,1,High
17,10,1,High
28,10,0,Low
59,2,0,Medium
14,9,0,Low
73,10,1,High
47,7,1,High
96,4,0,High
63,7,0,Medium
24,8,1,High
82,5,0,High
87,4,1,High
94,6,0,High
18,9,1,High
44,10,1,High
13,9,1,High
44,1,0,Medium
95,5,0,High
35,9,0,Low
52,8,0,Medium
92,1,1,High
20,4,0,Low
63,8,1,High
63,8,1,High
15,3,0,Low
77,7,1,High
44,7,1,High
51,6,0,Medium
79,2,0,High
25,1,1,High
28,9,1,High
52,2,0,Medium
48,9,1,High
95,5,1,High
96,8,0,High
10,10,0,Low
64,10,0,Medium
42,4,1,High
31,6,0,Low
54,1,1,High
10,7,0,Low
40,8,1,High
